ts_ms,seq,device,a0,a1,ax,ay,az,col_b,col_g,col_i,col_r,gx,gy,gz,hum,mic_db,mic_rms,p_hPa,tempC
40448,76,NODE_B,79,74,0,0,0,255,255,255,255,0,0,0.0,42.8,-68.9,0.0,1,30.13
40948,77,NODE_B,76,69,0,0,0,255,255,255,255,0,0,0.0,42.8,-69.4,0.0,1,30.11
41448,78,NODE_B,68,60,0,0,0,255,255,255,255,0,0,0.0,42.8,-69.3,0.0,1,30.09
41948,79,NODE_B,77,70,0,0,0,255,255,255,255,0,0,0.0,42.6,-73.0,0.0,1,30.15
42449,80,NODE_B,73,67,0,0,0,255,255,255,255,0,0,0.0,42.9,-65.3,0.001,1,30.15
42949,81,NODE_B,67,59,0,0,0,255,255,255,255,0,0,0.0,42.6,-70.7,0.0,1,30.13
43953,83,NODE_B,71,62,0,0,0,255,255,255,255,0,0,0.0,42.8,-67.9,0.0,1,30.11
44953,85,NODE_B,69,63,0,0,0,251,247,250,252,0,0,0.0,42.7,-69.2,0.0,1,30.09
45455,86,NODE_B,85,76,0,0,0,248,244,248,254,0,0,0.0,42.6,-67.1,0.0,1,30.07
45955,87,NODE_B,75,64,0,0,0,246,241,245,249,0,0,0.0,42.7,-69.3,0.0,1,30.11
46458,88,NODE_B,75,65,0,0,0,242,243,243,245,0,0,0.0,42.7,-69.3,0.0,1,30.09
46958,89,NODE_B,75,66,0,0,0,240,239,240,241,0,0,0.0,42.7,-67.8,0.0,1,30.07
47458,90,NODE_B,69,59,0,0,0,237,236,237,238,0,0,0.0,42.7,-68.8,0.0,1,30.05
47958,91,NODE_B,80,67,0,0,0,237,240,237,235,0,0,0.0,42.8,-67.2,0.0,1,30.09
48458,92,NODE_B,71,64,0,0,0,236,235,234,233,0,0,0.0,42.8,-70.3,0.0,1,30.11
48958,93,NODE_B,79,72,0,0,0,235,233,234,234,0,0,0.0,42.8,-70.7,0.0,1,30.09
49458,94,NODE_B,75,64,0,0,0,234,230,232,232,0,0,0.0,42.8,-68.7,0.0,1,30.09
50458,96,NODE_B,66,57,0,0,0,231,229,230,230,0,0,0.0,42.9,-70.2,0.0,1,30.13
50958,97,NODE_B,67,61,0,0,0,231,228,229,229,0,0,0.0,42.7,-74.7,0.0,1,30.09
51458,98,NODE_B,73,62,0,0,0,230,226,227,227,0,0,0.0,42.8,-72.8,0.0,1,30.13
51958,99,NODE_B,69,61,0,0,0,229,231,228,224,0,0,0.0,42.8,-61.3,0.001,1,30.09
52459,100,NODE_B,76,76,0,0,0,226,234,227,221,0,0,,43.0,-69.2,0.0,1,30.11
52962,101,NODE_B,74,62,0,0,0,226,229,226,224,0,0,,43.0,-70.0,0.0,1,30.11
53462,102,NODE_B,80,70,0,0,0,226,230,226,224,0,0,,42.9,-69.0,0.0,1,30.07
54462,104,NODE_B,74,67,0,0,0,228,227,226,224,0,0,,42.9,-70.7,0.0,1,30.07
